,ID,SHAPE_Length,VOLTAGE,start_zone,end_zone
362,141261,146256.209107449,345.0,,22.0
610,141569,591.413495649811,69.0,21.0,
1240,109839,51882.3274276059,230.0,14.0,
1360,145640,99738.4620112884,230.0,14.0,
1660,142874,39109.5976608842,230.0,,4.0
1746,105463,61399.4133269345,230.0,,14.0
1781,143039,25667.727206051,345.0,21.0,
1811,117316,61352.1197971476,230.0,,14.0
1934,143237,98833.9448155156,138.0,19.0,
1985,143295,80516.0608904678,345.0,,21.0
2566,143992,12010.6295198626,345.0,17.0,
2943,144519,44510.4641128238,161.0,,22.0
2986,144576,15968.2318806166,69.0,21.0,
3133,144786,15648.8812518236,230.0,,13.0
3211,144877,52953.0651811197,138.0,,21.0
3442,145186,100007.347972598,500.0,22.0,
3458,145213,66094.8892127674,230.0,,4.0
3516,164637,13175.4075528616,138.0,22.0,
3580,145360,2861.62522465178,345.0,,21.0
3735,145560,14506.7145132575,138.0,15.0,
3746,145575,61892.9288966022,161.0,21.0,
4235,146234,36277.141231366,138.0,,22.0
4288,146304,73562.9325945921,500.0,15.0,
4417,146458,97269.0239058708,345.0,,21.0
4427,146468,12433.3585239332,345.0,17.0,
4632,146746,70256.5640095833,345.0,,20.0
4796,146974,31117.2434276835,69.0,22.0,
4895,147108,30212.9871566981,230.0,,13.0
5304,163814,38810.9871163919,161.0,21.0,
5323,147686,14355.6872710798,230.0,14.0,
5472,147898,12697.7648723537,138.0,,21.0
5787,148331,42106.1404428546,138.0,22.0,
5796,148351,33860.6629758599,345.0,22.0,
5846,148408,49425.5184277108,345.0,21.0,
5847,148409,44295.0315030498,230.0,,13.0
6036,148651,46445.1293252756,345.0,10.0,
6037,148652,28603.9085626948,69.0,,21.0
6146,148786,4078.82954512555,69.0,21.0,
6184,148844,9761.92850668555,69.0,21.0,
6287,148964,23338.7101880928,138.0,22.0,
6436,149184,41212.1913250032,345.0,,17.0
7004,149964,596.46957154503,69.0,,21.0
7100,164093,5826.30972992912,69.0,,21.0
7179,150210,18134.0973965949,138.0,,22.0
7469,163811,19123.095484673,69.0,,21.0
7622,150808,23322.6084393504,161.0,17.0,
7742,164071,11260.0277523928,69.0,21.0,
8006,155917,68807.4686995855,138.0,22.0,
8049,155965,20689.5838333258,69.0,,20.0
8111,156048,7615.25256620063,138.0,,22.0
8440,156512,15394.0318535261,69.0,21.0,
8481,156574,44342.5192353182,138.0,,22.0
8975,157220,27594.8189155448,161.0,21.0,
9064,157354,18383.386687187,138.0,,12.0
9245,157629,13111.8815691945,345.0,7.0,
9376,157805,15784.5659588466,138.0,15.0,
9401,157829,35297.79273276,138.0,,21.0
9723,158199,10763.5456188191,138.0,12.0,
9913,158418,146270.022348706,345.0,,22.0
9940,158454,5090.66891678869,69.0,21.0,
11231,146128,23314.8173866531,230.0,13.0,
11238,119228,47598.3800625827,230.0,,13.0
11239,138386,47591.8072192805,230.0,,13.0
11516,119664,10475.3490475507,69.0,13.0,
11520,115222,5631.15756777221,69.0,,6.0
11535,118094,5786.71580210508,69.0,13.0,
11536,110809,3028.86071391502,69.0,,13.0
11537,142609,2998.29643625049,69.0,,13.0
11539,114632,11526.2590966942,69.0,13.0,
11540,118919,11360.3142428843,69.0,,6.0
11621,103952,33520.2053243816,69.0,13.0,
11623,105148,7006.97141451345,69.0,,13.0
11667,131429,14040.5507906778,69.0,,13.0
11739,126218,8727.46826585824,69.0,17.0,
11978,156367,35262.3144189765,138.0,,21.0
11991,131642,1096.42271561621,138.0,21.0,
12453,116360,42370.7820053097,345.0,21.0,
12733,132449,30568.1094165167,69.0,,13.0
13818,146867,85816.5164221452,345.0,22.0,
14007,144259,11515.4645342279,345.0,,8.0
14367,101306,95563.9210441994,138.0,22.0,
14791,122305,27631.4851441623,138.0,,17.0
14792,125499,27628.9554810234,138.0,,17.0
14892,140790,92371.164632043,138.0,,17.0
14894,130613,11879.5796810442,138.0,,22.0
14898,101357,57912.2383863027,138.0,,17.0
14962,137790,16026.6946050942,138.0,22.0,
14963,105674,16065.3005800588,138.0,,22.0
15289,138275,23479.780069253,138.0,21.0,
15358,121666,17591.3511919691,138.0,,19.0
15632,144085,27001.5984905445,69.0,,21.0
15800,112566,154817.267226994,161.0,,21.0
15955,156550,2135.80632695837,69.0,,21.0
15956,157478,4406.23580725106,69.0,,21.0
16056,147007,17642.9925412649,138.0,22.0,
16182,137687,28537.7452245147,69.0,21.0,
16231,144572,54729.573902855,161.0,21.0,
16233,119729,22135.2780443524,161.0,,21.0
16836,107339,42327.941972871,115.0,3.0,
16877,174878,18404.0492191227,345.0,20.0,
16899,163922,161066.572288383,161.0,,21.0
17016,165909,10435.4029690641,138.0,,22.0
17365,166581,326869.248799313,345.0,,3.0
17724,100051,37102.3358091992,230.0,,6.0
18075,100535,2615.90873738094,69.0,,21.0
18669,101348,144279.693214632,345.0,19.0,
18841,101565,144345.913772394,345.0,19.0,
19561,102611,2155.70033897742,138.0,20.0,
19873,164361,9442.87162368478,500.0,,6.0
19876,103035,44912.8031548518,69.0,9.0,
20064,103303,25247.2121838956,345.0,,17.0
20759,104263,42829.5720170887,138.0,22.0,
20764,104270,12887.860329094,115.0,,13.0
20814,104331,73423.227104178,161.0,21.0,
20826,104340,115913.626511066,345.0,,22.0
20866,104402,11082.2660496268,230.0,13.0,
21077,104702,18761.1999531999,138.0,22.0,
21268,104981,51327.2695500997,230.0,14.0,
21296,105016,93610.0902647369,230.0,4.0,
21509,105309,106987.54122774,345.0,,21.0
21528,105345,36761.4434102771,138.0,,21.0
21548,105367,32374.4009001963,115.0,11.0,
21750,105621,66711.6220487181,230.0,13.0,
21838,105755,1363.13607263911,161.0,21.0,
22008,105962,15452.082508477,230.0,6.0,
22267,106291,177102.835651391,345.0,22.0,
22372,106398,10944.1365028382,345.0,17.0,
22374,106400,97205.6743887226,345.0,,21.0
22494,106582,71965.9949128872,345.0,22.0,
22530,106622,29915.5178634507,345.0,21.0,
22547,106656,33559.4086371424,345.0,17.0,
22707,106855,8044.15148588136,69.0,,21.0
22798,106964,69711.0795565409,161.0,,22.0
22970,107184,69065.0708454155,138.0,,22.0
22972,107186,271651.090332868,345.0,17.0,
23002,107233,17702.6820422826,69.0,,21.0
23244,107548,41273.0605074877,138.0,21.0,
23399,107744,27736.2193787392,230.0,4.0,
23424,107774,36848.3770343783,230.0,13.0,
23489,107854,8287.27073166981,230.0,,13.0
23508,107868,58438.8588819983,345.0,17.0,
23587,107966,19277.0688645811,138.0,,22.0
23649,108045,12245.163775245,69.0,21.0,
23833,108273,30590.509301885,115.0,,14.0
23967,108460,26649.5105517155,138.0,20.0,
24193,108750,601.011886036489,69.0,21.0,
24235,108811,13186.8435798173,138.0,21.0,
24237,108800,1542.31550204359,138.0,,22.0
24476,109154,11470.0525260479,138.0,,22.0
24479,109159,5206.66593385936,69.0,,21.0
24672,109394,221667.719504872,345.0,17.0,
24748,109516,6544.16584235216,138.0,22.0,
24984,109808,8668.14717004881,138.0,,22.0
25034,109853,101574.374234167,345.0,,22.0
25342,110259,47403.787095538,345.0,,22.0
25809,110890,33215.9855915974,345.0,21.0,
25845,110946,6612.09673647748,69.0,21.0,
25887,111009,12561.5447210705,345.0,,17.0
26809,112219,34628.7082073145,138.0,,22.0
26849,112274,33092.8297251304,161.0,17.0,
27073,112552,32373.5922947707,138.0,,22.0
27122,112626,24785.2590883348,115.0,,13.0
27137,112660,23313.8559458613,138.0,20.0,
27168,112698,107761.986388471,345.0,17.0,
27204,112751,78906.1999433364,500.0,22.0,
27538,113195,7443.69816337063,69.0,,21.0
27636,113313,135327.053526683,500.0,11.0,
28437,114442,38070.0519204861,161.0,17.0,
28876,115032,54909.7662330265,138.0,17.0,
29606,116047,79462.7220671384,138.0,,21.0
29737,116230,29291.7461872461,138.0,,22.0
29755,116256,63089.403056957,230.0,13.0,
29919,116491,9300.26193731634,345.0,,17.0
29942,116522,47223.9736087133,69.0,21.0,
30446,117160,66912.4013555245,345.0,,17.0
30486,117218,13109.1296135061,138.0,22.0,
30504,117241,4837.88502362385,69.0,,21.0
30565,117314,10685.3376295068,138.0,17.0,
30645,117412,7948.60060312033,345.0,21.0,
30649,117420,30608.3923685797,115.0,,14.0
30715,117494,32177.9235582229,138.0,21.0,
30856,117650,6491.17745915868,161.0,,17.0
30958,117793,5891.72079923191,138.0,,21.0
31073,117931,22342.4212664377,138.0,,22.0
31088,117961,53424.3790797268,345.0,,22.0
31278,118204,1977.73575318093,230.0,,7.0
31691,118754,22988.8406355868,138.0,,22.0
31807,118825,45619.4406280637,345.0,,22.0
31811,118829,17626.8881449431,138.0,9.0,
32395,167330,10980.7243661998,69.0,17.0,
32411,164012,5016.8656852987,69.0,21.0,
32791,164070,1395.38658799378,69.0,,21.0
32908,164090,1873.57464997373,69.0,,21.0
32910,164073,6193.24717297368,69.0,21.0,
32920,120157,10911.5662813438,138.0,,21.0
33020,120272,4975.09045391664,69.0,4.0,
33061,120323,38422.3632232491,500.0,15.0,
