,ID,SHAPE_Length,VOLTAGE,start_zone,end_zone
14,140863,2735.45497265499,69.0,21.0,22.0
97,140922,30907.453436307,69.0,21.0,22.0
128,140957,50018.6174838293,230.0,4.0,2.0
182,141030,47511.4417570005,138.0,15.0,13.0
292,141163,57510.9457928457,138.0,20.0,18.0
405,141309,27305.8561983519,138.0,22.0,18.0
526,110868,13769.6759636824,115.0,13.0,14.0
526,110868,13769.6759636824,115.0,14.0,13.0
745,141750,15062.9374193597,115.0,13.0,14.0
745,141750,15062.9374193597,115.0,14.0,13.0
749,103496,12499.0835049852,115.0,14.0,13.0
755,141544,6262.57677387793,115.0,13.0,14.0
755,141544,6262.57677387793,115.0,14.0,13.0
779,141791,6748.95274469525,69.0,22.0,21.0
937,112715,6729.63105495829,115.0,13.0,14.0
937,112715,6729.63105495829,115.0,14.0,13.0
1140,142235,13403.054247688,230.0,1.0,6.0
1154,142258,34974.5157811417,500.0,1.0,5.0
1237,142370,9697.21214185961,69.0,2.0,4.0
1269,147211,37141.702131601,230.0,22.0,14.0
1318,124886,11853.135884564,115.0,14.0,13.0
1386,142545,7671.11599694691,230.0,6.0,1.0
1637,142849,7700.79903088308,69.0,21.0,19.0
1684,142915,2349.0277274229,115.0,3.0,15.0
1686,142909,44893.529485774,345.0,3.0,20.0
1758,143006,61329.7036386985,230.0,15.0,3.0
1830,143113,125033.62550032,500.0,13.0,15.0
1832,143116,104368.864219133,345.0,22.0,16.0
2088,143413,27521.6217242533,230.0,6.0,13.0
2121,143442,100493.673274605,500.0,15.0,1.0
2253,143604,26676.5245453917,138.0,22.0,20.0
2326,143695,38096.424357746,500.0,7.0,11.0
2381,143764,55.2651354848189,138.0,16.0,22.0
2381,143764,55.2651354848189,138.0,22.0,16.0
2539,143955,148048.755895368,345.0,19.0,16.0
2539,143955,148048.755895368,345.0,19.0,22.0
2769,144269,23355.6854683581,230.0,2.0,5.0
2770,144270,14723.5123795881,138.0,15.0,10.0
2779,144293,21642.1462947073,138.0,22.0,14.0
2810,144327,15677.9458841858,230.0,7.0,11.0
3024,144643,12205.3320218519,69.0,19.0,21.0
3187,144843,93073.9050375828,500.0,2.0,4.0
3224,144891,66997.3743912399,345.0,22.0,10.0
3283,144987,6846.27618760692,69.0,22.0,21.0
3301,145001,14643.5271740501,230.0,2.0,4.0
3585,166081,18969.6917300432,115.0,13.0,14.0
3633,118651,38382.8243276634,500.0,15.0,13.0
3717,145543,454.444512970108,230.0,13.0,14.0
3717,145543,454.444512970108,230.0,14.0,13.0
3750,145581,137842.224522067,765.0,22.0,15.0
3871,145760,53740.0874680115,345.0,21.0,19.0
4014,145941,69895.3777267229,345.0,22.0,20.0
4017,145945,16625.3769079491,138.0,13.0,22.0
4041,145975,112164.368510181,345.0,18.0,22.0
4170,146151,13423.1424980421,230.0,1.0,6.0
4251,146257,58081.7491283083,138.0,13.0,15.0
4260,146266,15282.9956184193,138.0,22.0,20.0
4272,146281,38346.5533117074,138.0,20.0,22.0
4443,146490,5330.38016307881,138.0,10.0,15.0
4541,146632,17210.1904802627,69.0,2.0,4.0
4677,146807,28671.4071675544,138.0,16.0,22.0
4677,146807,28671.4071675544,138.0,22.0,16.0
4960,147201,40641.4798835363,138.0,15.0,13.0
5059,147329,13007.9634601429,230.0,7.0,11.0
5236,163908,41627.4090433755,230.0,2.0,4.0
5313,147672,84405.4068549694,500.0,2.0,1.0
5328,147692,16437.0872026251,138.0,15.0,10.0
5460,147879,4989.68199347753,69.0,18.0,19.0
5549,148018,74264.9379765709,138.0,22.0,15.0
5565,148036,21251.2638589199,230.0,11.0,7.0
5600,148075,5727.69242130476,230.0,14.0,13.0
5865,148432,250544.308455234,500.0,4.0,15.0
5940,148589,9294.67045503498,69.0,21.0,22.0
6001,148610,48960.8062546012,230.0,2.0,4.0
6041,148657,115874.942049936,345.0,22.0,18.0
6248,148932,12684.8977424665,230.0,11.0,7.0
6271,148960,101915.016859483,765.0,15.0,22.0
6651,149479,50160.6286900285,345.0,22.0,18.0
6808,149708,116629.565888836,500.0,13.0,15.0
6849,149756,3914.05068654323,138.0,15.0,22.0
6849,149756,3914.05068654323,138.0,22.0,15.0
6864,149772,38943.461470358,138.0,21.0,22.0
6908,167124,27810.1429421143,115.0,13.0,22.0
6908,167124,27810.1429421143,115.0,14.0,22.0
6917,149843,46998.8194005402,138.0,15.0,22.0
7084,150076,23488.1593711097,230.0,1.0,6.0
7233,150284,88182.2319842049,500.0,22.0,15.0
7378,150504,18217.4326805573,138.0,22.0,20.0
7548,150721,19268.5843214287,138.0,15.0,10.0
7629,150822,2485.86717559234,138.0,20.0,18.0
7782,151040,41248.2364116676,115.0,13.0,14.0
7782,151040,41248.2364116676,115.0,14.0,13.0
