,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Longitude,Latitude,zone_ID
0,,,,,,,784.0,,,,,,-84.1017,37.8833,21
1,,,,,,,,,50.0,,,,-75.5371,39.7302,9
2,,,,,,,,,18.0,,,,-75.626811,39.600408,9
3,,,,,,,695.0,,12.0,,,,-75.50384,39.73886,9
4,,,410.0,,,,,,16.1,,,,-75.2341,38.5857,9
5,,,,,,,,,15.0,,,,-75.6289,39.7283,9
6,,,1273.0,,,,,,,,,,-76.537151,39.182073,1
7,,,,,,,,1797.0,,,,,-88.27,41.39,17
8,,,,,,,,1819.0,,,,,-90.310278,41.726111,17
9,,,,,,,,,107.8,,,,-87.8133,42.3833,17
10,,,,,,,,,197.2,,,,-87.6533,41.8508,17
11,,,,,1.1,,,,,,,,-89.0756,42.4511,17
12,,,,,,,19.5,,3.8,0.9,3.0,,-90.148547,41.451494,17
13,,,,,,,12.5,,1.8,0.3,,,-89.0498,41.9093,17
14,,,,,,,3.6,,10.8,,,,-89.0504,41.9092,17
15,,,,,,,28.2,,5.2,,,,-87.731025,42.115589,17
16,,,,,1.4,,,,,,,,-85.965,41.6928,22
17,,,,,4.0,,,,,,,,-86.1322,41.665,22
18,,,,,,,260.0,,,,,,-82.6176,38.1707,22
19,,,,,31.5,,,,,,,,-84.7028,37.7864,21
20,,,412.0,,,,906.0,,,10.0,,,-84.71257,37.78831,21
21,,,1919.0,,,,,,,,,,-85.035,38.7497,21
22,,,,,2.3,,,,,,,,-84.7247,37.8297,21
23,,,,,,,691.0,,,,,,-85.8892,38.1831,21
24,,,1465.0,,,,,,,,,,-85.9103,38.0525,21
25,,,,,100.8,,,,,,,,-85.7792,38.2832,21
26,,,,,,,170.0,,,,,,-85.841704,38.223592,21
27,,,,,300.0,,,,,,,,-85.147,36.8691,21
28,,,341.0,,,,,,,,,,-84.5919,36.9981,21
29,,,,,,,,,840.9,,,,-76.5268,39.1781,1
30,,,,,,,248.8,,155.0,,,,-76.221761,39.442836,1
31,,,,,,,,,59.7,,,,-76.5636,39.2986,1
